ID;Contex/Box;Blank Type;Completeness;Blade/Bladelet Type;Max. Length (mm);Max. Width (mm);Max. Thickness (mm);Platform Type;Platform width (mm);Platform depth (mm);Dorsal reduction;Bulb;Distal configuration;Product Type;Axiality;Longitudinal cross-section;Blank cross-section;Dorsal triangular scars smaller than obtained product;Dorsal hinged scars smaller than obtained product;Retouch;Cortex/natural surface (in general);Cortical piece (>50%);Other comments
123;An2-10-4-2;Bladelet;Proximal;n/a;n/a;10;5;Plain;5;3;Absent;Non-visible;n/a;Lateral product;Off-axis left;Twisted;Side blade/débordant;No;No;None;1;0;Core-edge bladelet (from primary reduction surface)
180;An2-10-4-2;Bladelet;Proximal;n/a;n/a;9;4;Plain;9;4;Absent;Diffuse;n/a;Initial Shaping/Decortification;In-axis;Straight;Trapezoidal;No;No;None;1;1;"Cortical ""bladelet"" (>70%), left lateral side"
97;An2-10-4-2;Flake;Proximal;;n/a;29;8;Plain;17;6;Abrasion+Flaking;Pronounced;n/a;Target central product;In-axis;Twisted;Trapezoidal;Yes;No;Local right-lateral retouch;0;0;Retouch potentially resposible for breakage
1516;ANS2-10-1-1;Flake;Proximal;;n/a;49;11;Dihedral;36;7;Flaking;Diffuse;n/a;Lateral product;Off-axis right;Curved;;;;None;0;0;
1242;ANS2-10-1-1;Flake;Proximal;;n/a;32;10;Dihedral;30;8;Abrasion;Diffuse;n/a;n/a ;n/a;Slightly curved;Triangular;No;No;None;0;0;
S5;An2-10-4-1;Flake;Proximal;n/a;n/a;29;9;Partially Faceted;21;11;Absent;Diffuse;n/a;n/a ;n/a;Straight;Trapezoidal;No;Yes;None;0;0;
S18;An2-10-2-1;Flake;Proximal;;n/a;28;10;Plain;8;3;Flaking;Pronounced;;Preparatory;In-axis;Straight;Side blade/débordant;;;None;0;0;Small core tablet-like flake for setting-back the striking platform
S31;An2-10-2-1;Flake;Proximal;;n/a;32;9;Plain;30;6;Absent;Pronounced;;;n/a;Twisted;;;;None;0;0;
S33;An2-10-2-1;Flake;Proximal;;27;35;6;Partially Faceted;28;7;Abrasion;Diffuse;;;n/a;Twisted;;;;None;0;0;
S38;An2-10-2-1;Flake;Proximal;;n/a;19;4;Plain;20;4;Absent;Diffuse;n/a;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;Broken naturally pointed central hangover-removal
S52;An2-10-3-1 (wirklich IUP?);Flake;Proximal;;n/a;18;4;Linear;5;1;Abrasion;Diffuse;n/a;;In-axis;Curved;Trapezoidal;No;Yes;None;0;0;
S56;An2-10-3-1 (wirklich IUP?);Flake;Proximal;;n/a;15;2;Plain;6;2;Abrasion;Non-visible;Acute pointed;;In-axis;Twisted;Trapezoidal;No;No;None;0;0;
72;An2-10-4-2;Flake;Proximal;;n/a;24;4;Plain;24;4;Flaking;Diffuse;;n/a ;In-axis;Twisted;;;;None;0;0;
1537;An2-10-4-2;Flake;Proximal;;n/a;31;5;Plain;20;4;Flaking;Non-visible;Wide pointed;Target central product;In-axis;Slightly curved;Trapezoidal;;;None;0;0;
153;An2-10-4-2;Flake;Proximal;;n/a;25;8;Plain;14;7;Abrasion+Flaking;Pronounced;n/a;n/a ;Off-axis left;Twisted;Triangular;No;No;None;0;0;
196;An2-10-4-2;Flake;Proximal;;n/a;22;6;Plain;14;6;Absent;Diffuse;;Lateral product;Off-axis right;Twisted;Side blade/débordant;No;No;None;0;0;Edge-flake on plain surface (previously flaked)
198;An2-10-4-2;Flake;Proximal;;n/a;21;7;Plain;19;7;Abrasion;Pronounced;Acute pointed;Target central product;Off-axis right;Twisted;Triangular;Yes;No;None;0;0;Off-axis (failed) central triangular intercalated removal
203;An2-10-4-2;Flake;Proximal;;n/a;17;9;Plain;15;9;Flaking;Pronounced;n/a;Lateral product;Off-axis right;Straight;Side blade/débordant;No;No;None;0;0;Edge flake on flaked (noncortical) surfaces
205;An2-10-4-2;Flake;Proximal;;n/a;20;6;Plain;15;6;Flaking;Pronounced;n/a;Target central product;Off-axis left;Straight;Triangular;No;No;None;0;0;Possibly also blade
218;An2-10-4-2;Flake;Proximal;;n/a;21;5;Plain;12;4;Absent;Pronounced;n/a;Target central product;In-axis;Straight;Trapezoidal;No;No;None;0;0;
219;An2-10-4-2;Flake;Proximal;;n/a;15;4;Plain;7;4;Absent;Pronounced;n/a;Target central product;Off-axis left;Twisted;Trapezoidal;No;No;None;0;0;
221;An2-10-4-2;Flake;Proximal;;n/a;22;3;Plain;16;3;Abrasion;Pronounced;;Target central product;n/a;Hinged;;No;No;None;0;0;
1528;An2-10-2-1;Flake;Proximal;;n/a;30;8;Partially Faceted;16;4;Absent;Diffuse;;Lateral product;In-axis;Straight;Side blade/débordant;;;None;1;0;Right-edge is steep and fully cortical (ca. 10% dorsal cortex)
S30;An2-10-2-1;Flake;Proximal;;n/a;31;4;Plain;9;2;Flaking;Diffuse;;;n/a;Slightly curved;;;;None;1;0;Small portion of cortex on the right side
78;An2-10-4-2;Flake;Proximal;Type 1;n/a;28;6;Plain;11;3;Absent;Pronounced;Acute pointed;n/a ;Off-axis left;Twisted;Triangular;No;No;None;1;0;Convergent/triangular flake
113;An2-10-4-2;Flake;Proximal;;n/a;33;15;Partially Faceted;25;16;Abrasion;Non-visible;n/a;Preparatory;In-axis;Twisted;Side blade/débordant;Yes;No;None;1;0;Failed attempt to rejuvenate a larger portion of the reduction surface (with small right-lateral cortext remnant)
214;An2-10-4-2;Flake;Proximal;;n/a;21;2;Plain;18;3;Absent;Pronounced;n/a;Lateral product;n/a;Slightly curved;Trapezoidal;No;No;None;1;0;Tiny portion of cortext on right lateral edge
112;An2-10-4-2;Flake;Proximal;;n/a;22;10;Faceted;17;9;Flaking;Pronounced;n/a;Preparatory;Off-axis left;Twisted;Side blade/débordant;No;No;None (weak use-wear on left lateral);1;0;Platform flake (core-tablet like) showing that some of the steep angulated edge-blades/flakes may related in part to plaform preparation
1258;An2-10-1-1;Flake;Proximal;;n/a;41;12;Plain;8;2;Flaking;Large Scar;n/a;Lateral product;In-axis;Slightly curved;;No;No;Curved heavy-duty distal endscraper;1;1;Curved ENDSCRAPER on cortical (60%) elongated flake
6902;An2-2011-1200;Flake;Proximal;;n/a;50;13;Plain;20;8;Flaking;Pronounced;n/a;Lateral product;Off-axis left;Curved;;No;No;Distal heavy duty endscraper (weakly curved);1;1;Endscraper on lateral cortical (>50%) flake for expanding the flaking surface
S2;An2-10-4-1;Flake;Proximal;n/a;n/a;23;9;Dihedral;21;9;Flaking;Diffuse;n/a;n/a ;Off-axis left;Slightly curved;Trapezoidal;No;No;None;1;1;Initial flake/blade: >50% dorsal cortex
S7;An2-10-4-1;Flake;Proximal;n/a;n/a;19;8;Plain;16;6;Absent;Diffuse;n/a;n/a ;Off-axis left;Straight;Triangular;No;No;None;1;1;Initial cortical (>50%) flake
S14;An2-10-2-1;Flake;Proximal;;n/a;27;12;Plain;22;8;Abrasion;Pronounced;;Lateral product;In-axis;;Triangular;;;None;1;1;50% Natural surface (on left part)
1569;An2-10-2-1;Flake;Proximal;;n/a;44;15;Plain;15;5;Absent;Pronounced;;Initial Shaping/Decortification;In-axis;Straight;Triangular;No;No;None;1;1;Initial cortical flake (>50%)
2050;An2-2011-1200;Flake;Proximal;;n/a;37;9;Cortical/Natural Surface;27;4;Absent;Pronounced;n/a;Initial Shaping/Decortification;n/a;Slightly curved;;No;No;None;1;1;Cortical initialisation flake (almost 100%)
1539;ANS2-10-1-1;Triangular Point;Proximal;Type 1;n/a;33;7;Plain;25;5;Abrasion;Diffuse;n/a;Target central product;n/a;Slightly curved;Triangular;Yes;No;None;0;0;
S44;An2-10-3-1 (wirklich IUP?);Triangular Point;Proximal;Type 1;n/a;17;5;Partially Faceted;16;4;Absent;Diffuse;n/a;Target central product;In-axis;Slightly curved;Triangular;Yes;No;None;0;0;Tip-broken central Triangular Point
1520;An2-10-4-2;Triangular Point;Proximal;Type 1;n/a;18;3;Plain;13;2;Absent;Diffuse;Acute pointed;Target central product;In-axis;Twisted;Trapezoidal;Yes;No;None;0;0;Small triangular almost-bladelet (almost Levallois-point-like)
