ID;Contex/Box;Blank Type;Completeness;Blade/Bladelet Type;Max. Length (mm);Max. Width (mm);Max. Thickness (mm);Platform Type;Platform width (mm);Platform depth (mm);Dorsal reduction;Bulb;Distal configuration;Product Type;Axiality;Longitudinal cross-section;Blank cross-section;Dorsal triangular scars smaller than obtained product;Dorsal hinged scars smaller than obtained product;Retouch;Cortex/natural surface (in general);Cortical piece (>50%);Other comments
168;An2-10-4-2;Bladelet;Mesial;n/a;n/a;9;2;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;In-axis;Straight;Trapezoidal;No;No;None;0;0;Regular mesial bladelet fragment
182;An2-10-4-2;Bladelet;Mesial;n/a;n/a;8;2;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;n/a;Straight;Triangular;No;No;None;0;0;
183;An2-10-4-2;Bladelet;Mesial;n/a;n/a;6;2;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;n/a;Straight;Triangular;No;No;None;0;0;
184;An2-10-4-2;Bladelet;Mesial;n/a;n/a;7;2;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;n/a;Straight;Triangular;No;No;None;0;0;
191;An2-10-4-2;Bladelet;Mesial;n/a;n/a;8;2;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;n/a;Straight;Triangular;No;No;None;0;0;
208;An2-10-4-2;Bladelet;Mesial;n/a;n/a;12;2;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;n/a;Straight;Triangular;No;No;None;0;0;
209;An2-10-4-2;Bladelet;Mesial;n/a;n/a;9;2;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;n/a;Slightly curved;Triangular;No;No;None;0;0;
119;An2-10-4-2;Bladelet;Mesial;n/a;n/a;8;1;n/a;n/a;n/a;n/a;n/a;n/a;Target central product;In-axis;Straight;Trapezoidal;No;No;None;1;0;Broken flat straight elongated bladelet (probably Type 3)
S4;An2-10-4-1;Flake;Mesial;n/a;n/a;40;11;n/a;n/a;n/a;n/a;n/a;n/a;n/a ;n/a;Slightly curved;Side blade/débordant;No;No;None;0;0;
S6;An2-10-4-1;Flake;Mesial;n/a;n/a;23;7;n/a;n/a;n/a;n/a;n/a;n/a;n/a ;n/a;Straight;Trapezoidal;No;No;None;0;0;
2047;An2-2011-1200;Flake;Mesial;;n/a;36;16;n/a;n/a;n/a;n/a;n/a;n/a;Lateral product;n/a;Slightly curved;;No;No;Distal steep curved enscraper;1;0;Endscraper on lateral cortical (ca. 30%) thick flake, probably early overshoot flake/blade
1108;ANS2-10-1-1;Flake;Mesial;n/a;n/a;50;10;n/a;n/a;n/a;n/a;n/a;n/a;Lateral product;In-axis;Slightly curved;Side blade/débordant;No;Yes;None;1;0;Steep lateral cortical edge
81;An2-10-4-2;Flake;Mesial;n/a;n/a;29;8;n/a;n/a;n/a;n/a;n/a;n/a;n/a ;n/a;Straight;Trapezoidal;;;None;1;0;Dorsal cortext cover
138;An2-10-4-2;Flake;Mesial;;n/a;29;5;n/a;n/a;n/a;n/a;n/a;n/a;Initial Shaping/Decortification;n/a;Straight;;No;No;None;1;1;Cortical flake fragment
243;An2-2011-1200;Flake;Mesial;;n/a;20;4;n/a;n/a;n/a;n/a;n/a;n/a;Initial Shaping/Decortification;n/a;Straight;Triangular;No;No;None;1;1;Cortical (>90%) flake fragment
1164;An2-10-4-2-gezeichnet;Blade;Proximal;n/a;n/a;28;8;Plain;19;8;Absent;Diffuse;n/a;Target central product;In-axis;Curved;Trapezoidal;No;No;Dihedral burin and lateral use-wear;0;0;GEZEICHNET in Jordanien-Band (awl-like tool on broader centralised blade)
109;An2-10-4-2;Blade;Proximal;n/a;n/a;30;7;Plain;18;7;Abrasion;Diffuse;n/a;Lateral product;In-axis;Twisted;Side blade/débordant;No;Yes;Left-lateral fine retouch (perhaps broken afterwards), creating a knife-edge oppsite of a steep 90degree edge (core edge);0;0;
1104;ANS2-10-1-1;Blade;Proximal;Type 3;n/a;20;8;Plain;8;6;Flaking;Diffuse;Acute pointed;Target central product;Off-axis left;Twisted;Triangular;No;No;None;0;0;
1235;ANS2-10-1-1;Blade;Proximal;n/a;n/a;26;13;Plain;20;5;Abrasion+Flaking;Diffuse;n/a;n/a ;Off-axis left;Twisted;Trapezoidal;No;Yes;None;0;0;
1227;ANS2-10-1-1;Blade;Proximal;n/a;n/a;23;18;Partially Faceted;12;8;Absent;Diffuse;n/a;n/a ;n/a;Straight;Trapezoidal;No;Yes;None;0;0;
1540;ANS2-10-1-1;Blade;Proximal;n/a;n/a;35;7;Dihedral;16;5;Abrasion+Flaking;Large Scar;n/a;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;
1506;An2-10-4-1;Blade;Proximal;Type 3;n/a;18;7;Linear;12;1;Abrasion+Flaking;Diffuse;n/a;Preparatory;In-axis;Slightly curved;Triangular;Yes;Yes;None;0;0;"Embedded prapratory ""clearence"" of V-shaped extraction surface by removing hinged v-removals"
1220;An2-10-2-1;Blade;Proximal;n/a;n/a;25;6;Plain;17;7;Absent;Diffuse;n/a;n/a ;In-axis;Straight;Triangular;No;No;None;0;0;
1216;An2-10-2-1;Blade;Proximal;n/a;n/a;19;6;Plain;13;5;Abrasion;Diffuse;n/a;n/a ;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;
1525;An2-10-2-1;Blade;Proximal;n/a;n/a;20;9;Partially Faceted;15;9;Absent;Diffuse;n/a;Target central product;In-axis;Straight;Trapezoidal;No;No;None;0;0;Fragment of central blade with steep central flat ridge
S41;An2-10-3-1 (wirklich IUP?);Blade;Proximal;n/a;n/a;15;5;Plain;9;3;Absent;Diffuse;n/a;Lateral product;In-axis;Twisted;Triangular;No;No;None;0;0;
S46;An2-10-3-1 (wirklich IUP?);Blade;Proximal;n/a;n/a;13;3;Plain;13;3;Flaking;Diffuse;n/a;Target central product;In-axis;Straight;Triangular;Yes;No;None;0;0;
1205;An2-10-4-2;Blade;Proximal;n/a;n/a;16;5;Plain;10;5;Flaking;Diffuse;;Target central product;In-axis;Straight;Trapezoidal;No;No;None;0;0;
1208;An2-10-4-2;Blade;Proximal;n/a;n/a;24;8;Plain;13;5;Abrasion+Flaking;Diffuse;;Target central product;In-axis;Slightly curved;Trapezoidal;Yes;No;None;0;0;
